Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
61,3.0,0.0,0.0,75.0,1.0,75.0,4302.0,0.1,43.10800000000001,0.0,0.0,783.1437356472015,,,,,,,,,,,,,,,,,,,,,13.525028793641628,14.079961204312278,42.17793653561156,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,109.0,2.0,34.0,4336.0,0.1,17.706000000000017,0.0,0.0,786.6232647895813,,,,,,,,,,,,,,,,,,,,,5.615615411537877,6.025849512103687,17.550151829514917,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,241.0,3.0,132.0,4468.0,0.1,89.309,0.0,0.0,798.6558127403259,,,,,,,,,,,,,,,,,,,,,33.63766115762018,26.921871348491546,85.03882133103485,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,277.0,4.0,36.0,4504.0,0.1,18.80600000000002,0.0,0.0,802.3210535049438,,,,,,,,,,,,,,,,,,,,,5.927991788631113,6.372631584463649,18.629833332440832,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,346.0,5.0,69.0,4573.0,0.1,29.405000000000005,0.0,0.0,808.8971283435822,,,,,,,,,,,,,,,,,,,,,12.547289083215349,7.987124891870561,28.59640125937564,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,0.0,378.0,6.0,32.0,4605.0,0.1,15.205999999999994,0.0,0.0,812.448468208313,,,,,,,,,,,,,,,,,,,,,4.637094620060775,5.11752795456191,15.08777343124712,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,0.0,440.0,7.0,62.0,4667.0,0.1,38.208999999999996,0.0,0.0,818.3939845561981,,,,,,,,,,,,,,,,,,,,,12.76564481931654,12.766421910984242,37.49247748369228,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,0.0,653.0,8.0,213.0,4880.0,0.1,170.70799999999997,0.0,0.0,837.574155330658,,,,,,,,,,,,,,,,,,,,,70.51419580593821,47.00298165133561,156.00032093488426,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3.0,0.0,0.0,744.0,9.0,91.0,4971.0,0.1,58.006,0.0,0.0,846.0119411945343,,,,,,,,,,,,,,,,,,,,,24.089459645775314,18.04066794655601,55.92565455569125,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3.0,0.0,0.0,813.0,10.0,69.0,5040.0,0.1,37.40899999999999,0.0,0.0,852.7071058750153,,,,,,,,,,,,,,,,,,,,,13.650347261265885,11.800616294141117,36.54016983847976,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
